#batches.csv
id,batchName,year,strength,courseIds,lectureRoomIDs,practicalRoomIDs
#2024
#
1,CSE-A,2024,70,1;2;3;4;6,1,5;6
2,CSE-B,2024,70,1;2;3;5;7,2,5;6
3,DSAI,2024,100,8;9;10;11;12,3,6;7
4,ECE,2024,100,13;14;15;16;17,4,7;8
# #
# #2023
# 5,CSE-A,2023,70,18;20;22;24;26;28,9,13;14
# 6,CSE-B,2023,70,19;21;23;25;27;29,10,13;14
# 7,DSAI,2023,100,30;31;32;33;34;35,11,14;15
# 8,ECE,2023,100,36;37;38;39;40;41,12,15;16
# #
# #2022
# 9,CSE-A,2022,70,42;44;46;48;50;52;53,17,21;22
# 10,CSE-B,2022,70,43;45;47;49;51;53,18,21;22
# 11,DSAI,2022,100,54;55;56;57;58,19,22;23
# 12,ECE,2022,100,59;60;61;62;63;64,20,23;24
# #
# #2021
# 13,CSE-A,2021,70,65;66;67;68;69;70,25,29;30
# 14,CSE-B,2021,70,65;66;67;68;69;70,26,29;30
# 15,DSAI,2021,100,71;72;73;74;75;76,27,30;31
# 16,ECE,2021,100,77;78;79;80,28,31;32
