# courses.csv
id,courseCode,name,courseType,branch,section,lecture,theory,practical,credits,hoursPerWeek,eligibleFacultyIds
#2024
#
1,ASD151,Introduction to Design,regular,CSE,Combined,0,0,0,2,2,40
2,MA162,Probability,regular,CSE,Combined,0,0,0,2,2,17
3,EC161,Digital Design,regular,CSE,Combined,3,0,2,2,5,14
4,CS161,Problem Solving through Programming,regular,CSE,A,3,0,2,4,7,34
5,CS161,Problem Solving through Programming,regular,CSE,B,3,0,2,4,7,33
6,HS161,English Language and Communication,regular,CSE,A,3,0,0,3,3,26
7,HS161,English Language and Communication,regular,CSE,B,3,0,0,3,3,26
#
8,DS101,Mathematics for Data Science,regular,DSAI,,3,1,0,4,4,37
9,DS102,Finance and Accounting,regular,DSAI,,3,1,0,4,4,5
10,CS105,Problem Solving through Programming,regular,DSAI,,3,1,2,5,6,19
11,DS104,Data Science and AI Applications,regular,DSAI,,3,0,0,4,4,1
12,HS103,Language and Communication,regular,DSAI,,2,0,2,3,4,26
#
13,MA101,Calculus,regular,ECE,,3,1,0,4,4,4
14,EC102,Digital Design,regular,ECE,,3,0,2,4,5,14
15,CS103,Programming and Data Structures,regular,ECE,,3,1,2,5,6,32
16,PH104,Physics for ECE,regular,ECE,,3,1,0,4,4,6
17,EG102,Basic Circuit Theory,regular,ECE,,3,1,0,4,4,31
# #
# #2023
# 18,CS201,Discrete Mathematics,regular,CSE,A,3,1,0,4,4,3
# 19,CS201,Discrete Mathematics,regular,CSE,B,3,1,0,4,4,35
# 20,CS207,Object Oriented Programming,regular,CSE,A,3,0,2,4,7,39
# 21,CS207,Object Oriented Programming,regular,CSE,B,3,0,2,4,7,38
# 22,CS208,Computer Architecture,regular,CSE,A,3,0,2,4,7,23
# 23,CS208,Computer Architecture,regular,CSE,B,3,0,2,4,7,23
# 24,CS202,Design & Analysis of Algorithms,regular,CSE,A,3,1,2,5,8,38
# 25,CS202,Design & Analysis of Algorithms,regular,CSE,B,3,1,2,5,8,12
# 26,MA201,Probability,regular,CSE,A,3,1,0,4,4,4
# 27,MA201,Probability,regular,CSE,B,3,1,0,4,4,4
# 28,HS204,Industrial Social Psychology,regular,CSE,A,3,0,0,3,3,21
# 29,HS204,Industrial Social Psychology,regular,CSE,B,3,0,0,3,3,21
# #
# 30,DS201,Data and Business Analytics,regular,DSAI,,3,0,2,4,5,1
# 31,CS201,Discrete Mathematics,regular,DSAI,,3,1,0,4,4,3
# 32,CS207,Object Oriented Programming,regular,DSAI,,3,0,2,4,5,19
# 33,CS202,Design & Analysis of Algorithms,regular,DSAI,,3,1,2,5,6,12
# 34,EC209,Introduction to Systems Thinking,regular,DSAI,,3,1,0,4,4,14
# 35,HS205,Ethics,regular,DSAI,,3,0,0,3,3,37
# #
# 36,MA202,Linear Algebra,regular,ECE,,3,1,0,4,4,17
# 37,EC207,Electromagnetic Theory,regular,ECE,,3,1,0,4,4,31
# 38,EC206,Linear Integrated Circuits,regular,ECE,,3,0,2,4,5,24
# 39,EC201,Signals and Systems,regular,ECE,,3,1,0,4,4,30
# 40,EC202,Microprocessors and Micro-controllers,regular,ECE,,3,0,2,4,5,20
# 41,HS102,Professional Communication,regular,ECE,,2,1,0,3,3,9
# #
# #2022
# 42,CS309,Statistics for Computer Science,regular,CSE,A,3,1,0,4,4,27
# 43,CS309,Statistics for Computer Science,regular,CSE,B,3,1,0,4,4,33
# 44,CS303,Computer Networks,regular,CSE,A,3,1,2,5,8,8
# 45,CS303,Computer Networks,regular,CSE,B,3,1,2,5,8,35
# 46,CS304,Artificial Intelligence,regular,CSE,A,3,1,0,4,4,16
# 47,CS304,Artificial Intelligence,regular,CSE,B,3,1,0,4,4,13
# 48,CS205,Graph Theory,elective,CSE,A,4,0,0,4,4,22
# 49,CS366,Advanced Algorithm Design,elective,CSE,B,4,0,0,4,4,32
# 50,CS352,Cryptography and Information Security,elective,CSE,A,4,0,0,4,4,25
# 51,CS463,Parallel Computing,elective,CSE,B,4,0,0,4,4,39
# 52,EC355,Internet of Things,elective,CSE,A,4,0,0,4,4,24
# 53,HS101,Environmental Studies,regular,CSE,Combined,0,0,0,2,2,6
# #
# 54,DS301,Graphs and Social Networks,regular,DSAI,,3,1,0,4,4,36
# 55,DS302,Computer Communication Networks,regular,DSAI,,3,1,2,5,6,8
# 56,DS303,Algorithms and Artificial Intelligence,regular,DSAI,,3,1,0,4,4,16
# 57,CS307,Machine Learning,regular,DSAI,,3,0,2,4,5,34
# 58,DS304,Visualization and App Development,regular,DSAI,,2,1,2,4,5,29
# #
# 59,EC306,Digital Signal Processing,regular,ECE,,3,0,2,4,5,31
# 60,EC301,Introduction to VLSI Design,regular,ECE,,3,1,0,4,4,15
# 61,HS304,Happiness and Wellbeing,regular,ECE,,3,0,0,3,3,9
# 62,CS367,Introduction to Algorithms,elective,ECE,,3,1,0,4,4,11
# 63,EC406,Advanced Digital Communication System,elective,ECE,,3,1,0,4,4,10
# 64,CS471,Internet of Things,elective,ECE,,3,1,0,4,4,24
# #
# #2021
# 65,CS468,Information Retrieval,elective,CSE,Combined,4,0,0,4,4,16
# 66,CS469,Virtualization and Cloud Computing,elective,CSE,Combined,4,0,0,4,4,18
# 67,CS470,AI for Cybersecurity,elective,CSE,Combined,4,0,0,4,4,1
