Day,Time,Room,Batch,Course,Type,Faculty
Monday,09:00-10:30,401,CSE_A_2021,Computer Graphics,LECTURE,Dr. Vivekraj
Monday,09:00-11:00,401,CSE_A_2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Monday,10:45-12:15,401,CSE_A_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Monday,11:15-13:15,401,CSE_A_2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Monday,11:45-12:45,401,CSE_A_2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
Monday,14:30-16:30,401,CSE_A_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Monday,09:00-11:00,301,CSE_A_2022,Graph Theory,LECTURE,Dr. Pavan
Monday,10:45-12:15,301,CSE_A_2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Monday,11:45-12:45,301,CSE_A_2022,Computer Networks,LECTURE,Dr. C B Akki
Monday,13:30-15:00,301,CSE_A_2022,Statistics for Computer Science,LECTURE,Dr. Ramesh Athe
Monday,09:00-10:30,201,CSE_A_2023,Probability,LECTURE,Dr. Anand P B
Monday,09:00-11:00,201,CSE_A_2023,Industrial Social Psychology,LECTURE,Dr. Navyashree
Monday,11:15-13:15,201,CSE_A_2023,Design & Analysis of Algorithms,LECTURE,Dr. Vivekraj
Monday,11:45-12:45,L206,CSE_A_2023,Computer Architecture,LAB,Dr. Prabhu Prasad B M
Monday,12:15-13:15,201,CSE_A_2023,Object Oriented Programming,LECTURE,Dr. Pramod
Monday,16:30-17:30,201,CSE_A_2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Monday,09:00-10:30,101,CSE_A_2024,Probability,LECTURE,Dr. Lakshman
Monday,10:45-12:15,101,CSE_A_2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Monday,11:45-12:45,101,CSE_A_2024,Introduction to Design,LECTURE,Dr. Sandesh
Monday,12:15-13:15,101,CSE_A_2024,Problem Solving through Programming,LECTURE,Dr. Sunil Kumar P V
Monday,09:00-10:30,402,CSE_B_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Monday,09:00-11:00,402,CSE_B_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Monday,10:45-12:15,402,CSE_B_2021,Computer Graphics,LECTURE,Dr. Vivekraj
Monday,09:00-11:00,302,CSE_B_2022,Parallel Computing,LECTURE,Dr. Pramod
Monday,10:45-12:15,302,CSE_B_2022,Artificial Intelligence,LECTURE,Dr. Girish GN
Monday,11:45-12:45,302,CSE_B_2022,Advanced Algorithm Design,LECTURE,Dr. Suvadip Hazra
Monday,14:30-16:30,302,CSE_B_2022,Computer Networks,LECTURE,Dr. Sadhvi
Monday,09:00-11:00,202,CSE_B_2023,Computer Architecture,LECTURE,Dr. Prabhu Prasad B M
Monday,09:00-10:30,202,CSE_B_2023,Design & Analysis of Algorithms,LECTURE,Dr. Dibyajyoti Guha
Monday,11:15-13:15,202,CSE_B_2023,Discrete Mathematics,LECTURE,Dr. Sadhvi
Monday,11:45-12:45,202,CSE_B_2023,Object Oriented Programming,LECTURE,Dr. Vivekraj
Monday,09:00-10:30,102,CSE_B_2024,Problem Solving through Programming,LECTURE,Dr. Sunil C K
Monday,09:00-11:00,102,CSE_B_2024,English Language and Communication,LECTURE,Dr. Rajesh
Monday,09:00-11:00,403,DSAI_2021,Introduction to Cybersecurity,LECTURE,Dr. Rajendra Hegadi
Monday,09:00-10:30,403,DSAI_2021,Data Science System,LECTURE,Dr. Animesh Chaturvedi
Monday,10:45-12:15,403,DSAI_2021,Human-Computer Interaction,LECTURE,Dr. Bharatesh Chakravarthi
Monday,11:15-13:15,403,DSAI_2021,Advanced Optimization Technique,LECTURE,Dr. Utkarsh Khaire
Monday,11:45-12:45,403,DSAI_2021,Healthcare Data Analytics,LECTURE,Dr. Girish GN
Monday,09:00-11:00,303,DSAI_2022,Graphs and Social Networks,LECTURE,Dr. Utkarsh Khaire
Monday,09:00-10:30,303,DSAI_2022,Computer Communication Networks,LECTURE,Dr. C B Akki
Monday,10:45-12:15,303,DSAI_2022,Machine Learning,LECTURE,Dr. Sunil Kumar P V
Monday,09:00-11:00,203,DSAI_2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Monday,09:00-10:30,203,DSAI_2023,Ethics,LECTURE,Guest Faculty
Monday,10:45-12:15,L208,DSAI_2023,Data and Business Analytics,LAB,Dr. Abdul Wahid
Monday,11:15-13:15,203,DSAI_2023,Introduction to Systems Thinking,LECTURE,Dr. Jagadeesha R Bhat
Monday,11:45-12:45,L208,DSAI_2023,Design & Analysis of Algorithms,LAB,Dr. Dibyajyoti Guha
Monday,09:00-10:30,103,DSAI_2024,Problem Solving through Programming,LECTURE,Dr. Manjunath KV
Monday,09:00-11:00,103,DSAI_2024,Data Science and AI Applications,LECTURE,Dr. Abdul Wahid
Monday,10:45-12:15,103,DSAI_2024,Mathematics for Data Science,LECTURE,Guest Faculty
Monday,10:45-12:15,404,ECE_2021,Image Processing and Computer Vision,LECTURE,Dr. Sibasankar Padhy
Monday,11:15-13:15,404,ECE_2021,Antennas & Radar Systems,LECTURE,Dr. Somen Bhattacharjee
Monday,18:00-19:30,404,ECE_2021,Energy Efficient Neural Networks,LECTURE,Dr. Jagadish D N
Monday,09:00-11:00,304,ECE_2022,Introduction to VLSI Design,LECTURE,Dr. Jagadish D N
Monday,09:00-10:30,304,ECE_2022,Advanced Digital Communication System,LECTURE,Dr. Chinmayananda
Monday,10:45-12:15,304,ECE_2022,Digital Signal Processing,LECTURE,Dr. Somen Bhattacharjee
Monday,09:00-11:00,H209,ECE_2023,Microprocessors and Micro-controllers,LAB,Dr. Nataraj
Monday,09:00-10:30,204,ECE_2023,Professional Communication,LECTURE,Dr. Chandrika Kamath
Monday,10:45-12:15,204,ECE_2023,Linear Algebra,LECTURE,Dr. Lakshman
Monday,11:15-13:15,204,ECE_2023,Signals and Systems,LECTURE,Dr. Sibasankar Padhy
Monday,11:45-12:45,204,ECE_2023,Linear Integrated Circuits,LECTURE,Dr. Prakash Pawar
Monday,12:15-13:15,204,ECE_2023,Electromagnetic Theory,LECTURE,Dr. Somen Bhattacharjee
Monday,09:00-11:00,104,ECE_2024,Physics for ECE,LECTURE,Dr. Aswath
Monday,09:00-10:30,104,ECE_2024,Basic Circuit Theory,LECTURE,Dr. Somen Bhattacharjee
Monday,10:45-12:15,104,ECE_2024,Calculus,LECTURE,Dr. Anand P B
Monday,11:15-13:15,H109,ECE_2024,Programming and Data Structures,LAB,Dr. Suvadip Hazra
Monday,16:30-17:30,104,ECE_2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Tuesday,09:00-10:30,401,CSE_A_2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Tuesday,11:15-13:15,401,CSE_A_2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Tuesday,11:45-12:45,401,CSE_A_2021,Computer Graphics,LECTURE,Dr. Vivekraj
Tuesday,16:00-17:30,401,CSE_A_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Tuesday,09:00-11:00,L306,CSE_A_2022,Computer Networks,LAB,Dr. C B Akki
Tuesday,09:00-10:30,301,CSE_A_2022,Cryptography and Information Security,LECTURE,Dr. Rajendra Hegadi
Tuesday,10:45-12:15,301,CSE_A_2022,Graph Theory,LECTURE,Dr. Pavan
Tuesday,11:15-13:15,301,CSE_A_2022,Artificial Intelligence,LECTURE,Dr. Krishendu Ghosh
Tuesday,11:45-12:45,301,CSE_A_2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Tuesday,16:00-17:30,301,CSE_A_2022,Statistics for Computer Science,LECTURE,Dr. Ramesh Athe
Tuesday,09:00-10:30,201,CSE_A_2023,Computer Architecture,LECTURE,Dr. Prabhu Prasad B M
Tuesday,09:00-11:00,L206,CSE_A_2023,Design & Analysis of Algorithms,LAB,Dr. Vivekraj
Tuesday,10:45-12:15,201,CSE_A_2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Tuesday,11:15-13:15,201,CSE_A_2023,Probability,LECTURE,Dr. Anand P B
Tuesday,11:45-12:45,201,CSE_A_2023,Object Oriented Programming,LECTURE,Dr. Pramod
Tuesday,09:00-10:30,101,CSE_A_2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Tuesday,09:00-11:00,101,CSE_A_2024,Problem Solving through Programming,LECTURE,Dr. Sunil Kumar P V
Tuesday,10:45-12:15,101,CSE_A_2024,Probability,LECTURE,Dr. Lakshman
Tuesday,11:15-13:15,101,CSE_A_2024,Introduction to Design,LECTURE,Dr. Sandesh
Tuesday,09:00-11:00,402,CSE_B_2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Tuesday,11:15-13:15,402,CSE_B_2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
Tuesday,11:45-12:45,402,CSE_B_2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Tuesday,14:30-16:30,402,CSE_B_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Tuesday,09:00-11:00,302,CSE_B_2022,Artificial Intelligence,LECTURE,Dr. Girish GN
Tuesday,10:45-12:15,302,CSE_B_2022,Parallel Computing,LECTURE,Dr. Pramod
Tuesday,11:45-12:45,302,CSE_B_2022,Computer Networks,LECTURE,Dr. Sadhvi
Tuesday,14:30-16:00,302,CSE_B_2022,Statistics for Computer Science,LECTURE,Dr. Sunil C K
Tuesday,09:00-11:00,202,CSE_B_2023,Probability,LECTURE,Dr. Anand P B
Tuesday,10:45-12:15,202,CSE_B_2023,Industrial Social Psychology,LECTURE,Dr. Navyashree
Tuesday,11:15-13:15,202,CSE_B_2023,Discrete Mathematics,LECTURE,Dr. Sadhvi
Tuesday,11:45-12:45,202,CSE_B_2023,Design & Analysis of Algorithms,LECTURE,Dr. Dibyajyoti Guha
Tuesday,12:15-13:15,202,CSE_B_2023,Object Oriented Programming,LECTURE,Dr. Vivekraj
Tuesday,09:00-10:30,102,CSE_B_2024,Probability,LECTURE,Dr. Lakshman
Tuesday,09:00-11:00,102,CSE_B_2024,Problem Solving through Programming,LECTURE,Dr. Sunil C K
Tuesday,11:15-13:15,L107,CSE_B_2024,Digital Design,LAB,Dr. Jagadeesha R Bhat
Tuesday,12:15-13:15,102,CSE_B_2024,English Language and Communication,LECTURE,Dr. Rajesh
