# rooms.csv
id,roomNumber,capacity,type
1,101,100,LECTURE_ROOM
2,102,100,LECTURE_ROOM
3,103,100,LECTURE_ROOM
4,104,100,LECTURE_ROOM
5,L106,100,COMPUTER_LAB
6,L107,100,COMPUTER_LAB
7,L108,100,COMPUTER_LAB
8,H109,100,HARDWARE_LAB
#
9,101,100,LECTURE_ROOM
10,102,100,LECTURE_ROOM
11,103,100,LECTURE_ROOM
12,104,100,LECTURE_ROOM
13,L106,100,COMPUTER_LAB
14,L107,100,COMPUTER_LAB
15,L108,100,COMPUTER_LAB
16,H109,100,HARDWARE_LAB
#
17,101,100,LECTURE_ROOM
18,102,100,LECTURE_ROOM
19,103,100,LECTURE_ROOM
20,104,100,LECTURE_ROOM
21,L106,100,COMPUTER_LAB
22,L107,100,COMPUTER_LAB
23,L108,100,COMPUTER_LAB
24,H109,100,HARDWARE_LAB
#
25,101,100,LECTURE_ROOM
26,102,100,LECTURE_ROOM
27,103,100,LECTURE_ROOM
28,104,100,LECTURE_ROOM
29,L106,100,COMPUTER_LAB
30,L107,100,COMPUTER_LAB
31,L108,100,COMPUTER_LAB
32,H109,100,HARDWARE_LAB
#
25,C001,120,SEATER_120
26,C002,120,SEATER_120
27,C004,240,SEATER_240
