Day,Time,Room,Batch,Course,Type,Faculty
Monday,09:00-11:00,101,CSE-A-2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Monday,09:00-10:30,101,CSE-A-2021,Computer Graphics,LECTURE,Dr. Vivekraj
Monday,11:45-12:15,101,CSE-A-2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
Monday,13:30-15:00,101,CSE-A-2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Monday,14:30-16:00,101,CSE-A-2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Monday,09:00-10:30,101,CSE-A-2022,Graph Theory,LECTURE,Dr. Pavan
Monday,09:00-11:00,101,CSE-A-2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Monday,11:15-13:15,101,CSE-A-2022,Computer Networks,LECTURE,Dr. C B Akki
Monday,14:30-16:30,101,CSE-A-2022,Artificial Intelligence,LECTURE,Dr. Krishendu Ghosh
Monday,16:00-17:30,101,CSE-A-2022,Cryptography and Information Security,LECTURE,Dr. Rajendra Hegadi
Monday,16:30-17:30,101,CSE-A-2022,Statistics for Computer Science,LECTURE,Dr. Ramesh Athe
Monday,09:00-11:00,101,CSE-A-2023,Computer Architecture,LECTURE,Dr. Prabhu Prasad B M
Monday,09:00-10:30,101,CSE-A-2023,Industrial Social Psychology,LECTURE,Dr. Navyashree
Monday,10:45-12:15,101,CSE-A-2023,Probability,LECTURE,Dr. Anand P B
Monday,11:15-13:15,L106,CSE-A-2023,Design & Analysis of Algorithms,LAB,Dr. Vivekraj
Monday,12:15-13:15,101,CSE-A-2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Monday,10:45-12:15,101,CSE-A-2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Monday,11:15-13:15,L106,CSE-A-2024,Problem Solving through Programming,LAB,Dr. Sunil Kumar P V
Monday,12:15-13:15,101,CSE-A-2024,Introduction to Design,LECTURE,Dr. Sandesh
Monday,09:00-11:00,102,CSE-B-2021,Computer Graphics,LECTURE,Dr. Vivekraj
Monday,09:00-10:30,102,CSE-B-2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Monday,10:45-12:15,102,CSE-B-2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
