Day,Time,Room,Batch,Course,Type,Faculty
Monday,09:00-10:30,101,CSE-A-2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Monday,09:00-11:00,101,CSE-A-2021,Bioinformatics,LECTURE,Dr. Sandesh
Monday,11:15-13:15,101,CSE-A-2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Monday,11:45-12:15,101,CSE-A-2021,Computer Graphics,LECTURE,Dr. Vivekraj
Monday,13:30-15:00,101,CSE-A-2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Monday,15:00-16:30,101,CSE-A-2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
Monday,10:45-12:15,101,CSE-A-2022,Cryptography and Information Security,LECTURE,Dr. Rajendra Hegadi
Monday,11:45-12:15,101,CSE-A-2022,Statistics for Computer Science,LECTURE,Dr. Ramesh Athe
Monday,13:30-15:00,101,CSE-A-2022,Graph Theory,LECTURE,Dr. Pavan
Monday,14:30-16:00,101,CSE-A-2022,Computer Networks,LECTURE,Dr. C B Akki
Monday,15:00-16:30,101,CSE-A-2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Monday,10:45-12:15,101,CSE-A-2023,Design & Analysis of Algorithms,LAB,Dr. Vivekraj
Monday,11:15-13:15,101,CSE-A-2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Monday,11:45-12:15,101,CSE-A-2023,Computer Architecture,LECTURE,Dr. Prabhu Prasad B M
Monday,15:00-16:30,101,CSE-A-2023,Probability,LECTURE,Dr. Anand P B
Monday,11:15-13:15,101,CSE-A-2024,Problem Solving through Programming,LAB,Dr. Sunil Kumar P V
Monday,12:15-13:15,101,CSE-A-2024,English Language and Communication,LECTURE,Dr. Rajesh
Monday,16:30-17:30,101,CSE-A-2024,Introduction to Design,LECTURE,Dr. Sandesh
Monday,16:30-18:00,101,CSE-A-2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Monday,09:00-11:00,102,CSE-B-2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Monday,10:45-12:15,102,CSE-B-2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Monday,11:45-12:15,102,CSE-B-2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Monday,13:30-15:00,102,CSE-B-2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
Monday,14:30-16:30,102,CSE-B-2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Monday,09:00-10:30,102,CSE-B-2022,Advanced Algorithm Design,LECTURE,Dr. Suvadip Hazra
Monday,11:45-12:15,102,CSE-B-2022,Statistics for Computer Science,LECTURE,Dr. Sunil C K
Monday,14:30-16:00,102,CSE-B-2022,Computer Networks,LECTURE,Dr. Sadhvi
Monday,15:00-16:30,102,CSE-B-2022,Parallel Computing,LECTURE,Dr. Pramod
Monday,09:00-11:00,102,CSE-B-2023,Computer Architecture,LAB,Dr. Prabhu Prasad B M
Monday,12:15-13:15,102,CSE-B-2023,Design & Analysis of Algorithms,LECTURE,Dr. Dibyajyoti Guha
Monday,16:00-17:30,102,CSE-B-2023,Discrete Mathematics,LECTURE,Dr. Sadhvi
Monday,16:30-17:30,102,CSE-B-2023,Object Oriented Programming,LECTURE,Dr. Vivekraj
Monday,09:00-10:30,102,CSE-B-2024,Problem Solving through Programming,LECTURE,Dr. Sunil C K
Monday,12:15-13:15,102,CSE-B-2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Monday,16:00-17:30,102,CSE-B-2024,Probability,LECTURE,Dr. Lakshman
Monday,16:30-18:00,102,CSE-B-2024,Introduction to Design,LECTURE,Dr. Sandesh
Monday,09:00-10:30,103,DSAI-2021,Human-Computer Interaction,LECTURE,Dr. Bharatesh Chakravarthi
Monday,10:45-12:15,103,DSAI-2021,DevOps,LECTURE,Dr. Shirshendu Layek
Monday,11:15-13:15,103,DSAI-2021,Advanced Optimization Technique,LECTURE,Dr. Utkarsh Khaire
Monday,13:30-15:00,103,DSAI-2021,Introduction to Cybersecurity,LECTURE,Dr. Rajendra Hegadi
Monday,14:30-16:00,103,DSAI-2021,Data Science System,LECTURE,Dr. Animesh Chaturvedi
Monday,16:30-18:00,103,DSAI-2021,Healthcare Data Analytics,LECTURE,Dr. Girish GN
Monday,09:00-10:30,103,DSAI-2022,Visualization and App Development,LECTURE,Dr. Siddharth R
Monday,13:30-15:00,103,DSAI-2022,Graphs and Social Networks,LECTURE,Dr. Utkarsh Khaire
Monday,14:30-16:00,103,DSAI-2022,Algorithms and Artificial Intelligence,LECTURE,Dr. Krishendu Ghosh
Monday,16:00-17:30,103,DSAI-2022,Machine Learning,LECTURE,Dr. Sunil Kumar P V
Monday,16:30-18:00,103,DSAI-2022,Computer Communication Networks,LECTURE,Dr. C B Akki
Monday,09:00-11:00,103,DSAI-2023,Introduction to Systems Thinking,LECTURE,Dr. Jagadeesha R Bhat
Monday,09:00-10:30,103,DSAI-2023,Ethics,LECTURE,Guest Faculty
Monday,10:45-12:15,103,DSAI-2023,Data and Business Analytics,LECTURE,Dr. Abdul Wahid
Monday,11:45-12:15,103,DSAI-2023,Object Oriented Programming,LECTURE,Dr. Manjunath KV
Monday,12:15-13:15,103,DSAI-2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Monday,16:30-17:30,103,DSAI-2023,Design & Analysis of Algorithms,LECTURE,Dr. Dibyajyoti Guha
Monday,09:00-10:30,103,DSAI-2024,Problem Solving through Programming,LECTURE,Dr. Manjunath KV
Monday,09:00-11:00,103,DSAI-2024,Data Science and AI Applications,LECTURE,Dr. Abdul Wahid
Monday,10:45-12:15,103,DSAI-2024,Language and Communication,LECTURE,Dr. Rajesh
Monday,11:15-13:15,103,DSAI-2024,Mathematics for Data Science,LECTURE,Guest Faculty
Monday,11:45-12:15,103,DSAI-2024,Finance and Accounting,LECTURE,Dr. Anushree Kini
Monday,09:00-11:00,104,ECE-2021,Energy Efficient Neural Networks,LECTURE,Dr. Jagadish D N
Monday,09:00-10:30,104,ECE-2021,Image Processing and Computer Vision,LECTURE,Dr. Sibasankar Padhy
Monday,11:15-13:15,104,ECE-2021,Antennas & Radar Systems,LECTURE,Dr. Somen Bhattacharjee
Monday,14:30-16:00,104,ECE-2021,Generative AI,LECTURE,Dr. Nataraj
Monday,11:15-13:15,104,ECE-2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Monday,13:30-15:00,104,ECE-2022,Digital Signal Processing,LECTURE,Dr. Somen Bhattacharjee
Monday,15:00-16:30,104,ECE-2022,Introduction to VLSI Design,LECTURE,Dr. Lakshman
Monday,16:00-17:30,104,ECE-2022,Advanced Digital Communication System,LECTURE,Dr. Chinmayananda
Monday,11:15-13:15,104,ECE-2023,Professional Communication,LECTURE,Dr. Chandrika Kamath
Monday,11:45-12:15,104,ECE-2023,Electromagnetic Theory,LECTURE,Dr. Somen Bhattacharjee
Monday,16:00-17:30,104,ECE-2023,Microprocessors and Micro-controllers,LECTURE,Dr. Nataraj
Monday,16:30-17:30,104,ECE-2023,Signals and Systems,LECTURE,Dr. Sibasankar Padhy
Monday,10:45-12:15,104,ECE-2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Monday,11:15-13:15,104,ECE-2024,Programming and Data Structures,LAB,Dr. Suvadip Hazra
Monday,12:15-13:15,104,ECE-2024,Basic Circuit Theory,LECTURE,Dr. Somen Bhattacharjee
Monday,16:00-17:30,104,ECE-2024,Calculus,LECTURE,Dr. Anand P B
Monday,16:30-18:00,104,ECE-2024,Physics for ECE,LECTURE,Dr. Aswath
Tuesday,11:45-12:15,101,CSE-A-2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Tuesday,13:30-15:00,101,CSE-A-2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
