#batches.csv
id,batchName,year,strength,courseIds,lectureRoomIDs,practicalRoomIDs
#2024
#
1,CSE_A_2024,2024,70,1;2;3;4;6,1,5
2,CSE_B_2024,2024,70,1;2;3;5;7,2,6
3,DSAI_2024,2024,100,8;9;10;11;12,3,7
4,ECE_2024,2024,100,13;14;15;16;17,4,8
#
#2023
5,CSE_A_2023,2023,70,18;20;22;24;26;28,9,13
6,CSE_B_2023,2023,70,19;21;23;25;27;29,10,14
7,DSAI_2023,2023,100,30;31;32;33;34;35,11,15
8,ECE_2023,2023,100,36;37;38;39;40;41,12,16
#
#2022
9,CSE_A_2022,2022,70,42;44;46;48;50;52;53,17,21
10,CSE_B_2022,2022,70,43;45;47;49;51;53,18,22
11,DSAI_2022,2022,100,54;55;56;57;58,19,23
12,ECE_2022,2022,100,59;60;61;62;63;64,20,24
#
#2021
13,CSE_A_2021,2021,70,65;66;67;68;69;70,25,29
14,CSE_B_2021,2021,70,65;66;67;68;69;70,26,30
15,DSAI_2021,2021,100,71;72;73;74;75;76,27,31
16,ECE_2021,2021,100,77;78;79;80,28,32
