Day,Time,Room,Batch,Course,Type,Faculty
Monday,09:00-11:00,101,CSE_A_2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Monday,11:15-13:15,101,CSE_A_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Monday,14:30-16:00,101,CSE_A_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Monday,14:30-16:30,101,CSE_A_2021,Computer Graphics,LECTURE,Dr. Vivekraj
Monday,09:00-11:00,101,CSE_A_2022,Statistics for Computer Science,LECTURE,Dr. Ramesh Athe
Monday,09:00-10:30,101,CSE_A_2022,Cryptography and Information Security,LECTURE,Dr. Rajendra Hegadi
Monday,10:45-12:15,101,CSE_A_2022,Graph Theory,LECTURE,Dr. Pavan
Monday,14:30-16:30,101,CSE_A_2022,Computer Networks,LECTURE,Dr. C B Akki
Monday,14:30-16:00,101,CSE_A_2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Monday,15:00-16:30,101,CSE_A_2022,Artificial Intelligence,LECTURE,Dr. Krishendu Ghosh
Monday,10:45-12:15,101,CSE_A_2023,Computer Architecture,LECTURE,Dr. Prabhu Prasad B M
Monday,11:15-13:15,101,CSE_A_2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Monday,11:45-12:45,101,CSE_A_2023,Industrial Social Psychology,LECTURE,Dr. Navyashree
Monday,12:15-13:15,101,CSE_A_2023,Probability,LECTURE,Dr. Anand P B
Monday,16:00-17:30,101,CSE_A_2023,Design & Analysis of Algorithms,LECTURE,Dr. Vivekraj
Monday,11:15-13:15,101,CSE_A_2024,Probability,LECTURE,Dr. Lakshman
Monday,16:00-17:30,101,CSE_A_2024,Problem Solving through Programming,LECTURE,Dr. Sunil Kumar P V
Monday,10:45-12:15,102,CSE_B_2021,Computer Graphics,LECTURE,Dr. Vivekraj
Monday,14:30-16:30,102,CSE_B_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Monday,14:30-16:00,102,CSE_B_2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
Monday,16:00-17:30,102,CSE_B_2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Monday,16:30-18:00,102,CSE_B_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Monday,09:00-11:00,L107,CSE_B_2022,Computer Networks,LAB,Dr. Sadhvi
Monday,09:00-10:30,102,CSE_B_2022,Parallel Computing,LECTURE,Dr. Pramod
Monday,10:45-12:15,102,CSE_B_2022,Artificial Intelligence,LECTURE,Dr. Girish GN
Monday,11:45-12:45,102,CSE_B_2022,Advanced Algorithm Design,LECTURE,Dr. Suvadip Hazra
Monday,09:00-10:30,102,CSE_B_2023,Computer Architecture,LECTURE,Dr. Prabhu Prasad B M
Monday,09:00-11:00,102,CSE_B_2023,Probability,LECTURE,Dr. Anand P B
Monday,10:45-12:15,102,CSE_B_2023,Design & Analysis of Algorithms,LECTURE,Dr. Dibyajyoti Guha
Monday,16:00-17:30,102,CSE_B_2023,Discrete Mathematics,LECTURE,Dr. Sadhvi
Monday,16:30-18:00,102,CSE_B_2023,Object Oriented Programming,LECTURE,Dr. Vivekraj
Monday,09:00-11:00,102,CSE_B_2024,Introduction to Design,LECTURE,Dr. Sandesh
Monday,10:45-12:15,102,CSE_B_2024,Problem Solving through Programming,LECTURE,Dr. Sunil C K
Monday,11:15-13:15,L107,CSE_B_2024,Digital Design,LAB,Dr. Jagadeesha R Bhat
Monday,09:00-10:30,103,DSAI_2021,DevOps,LECTURE,Dr. Shirshendu Layek
Monday,09:00-11:00,103,DSAI_2021,Human-Computer Interaction,LECTURE,Dr. Bharatesh Chakravarthi
Monday,10:45-12:15,103,DSAI_2021,Data Science System,LECTURE,Dr. Animesh Chaturvedi
Monday,11:45-12:45,103,DSAI_2021,Introduction to Cybersecurity,LECTURE,Dr. Rajendra Hegadi
Monday,15:00-16:30,103,DSAI_2021,Healthcare Data Analytics,LECTURE,Dr. Girish GN
Monday,09:00-11:00,103,DSAI_2022,Visualization and App Development,LECTURE,Dr. Siddharth R
Monday,10:45-12:15,103,DSAI_2022,Algorithms and Artificial Intelligence,LECTURE,Dr. Krishendu Ghosh
Monday,11:15-13:15,103,DSAI_2022,Computer Communication Networks,LECTURE,Dr. C B Akki
Monday,11:45-12:45,103,DSAI_2022,Machine Learning,LECTURE,Dr. Sunil Kumar P V
Monday,15:00-16:30,103,DSAI_2022,Graphs and Social Networks,LECTURE,Dr. Utkarsh Khaire
Monday,09:00-10:30,L108,DSAI_2023,Design & Analysis of Algorithms,LAB,Dr. Dibyajyoti Guha
Monday,10:45-12:15,103,DSAI_2023,Ethics,LECTURE,Guest Faculty
Monday,12:15-13:15,103,DSAI_2023,Introduction to Systems Thinking,LECTURE,Dr. Jagadeesha R Bhat
Monday,14:30-16:30,L108,DSAI_2023,Data and Business Analytics,LAB,Dr. Abdul Wahid
Monday,16:30-18:00,103,DSAI_2023,Object Oriented Programming,LECTURE,Dr. Manjunath KV
Monday,09:00-11:00,103,DSAI_2024,Finance and Accounting,LECTURE,Dr. Anushree Kini
Monday,09:00-10:30,103,DSAI_2024,Language and Communication,LECTURE,Dr. Rajesh
Monday,10:45-12:15,103,DSAI_2024,Problem Solving through Programming,LECTURE,Dr. Manjunath KV
Monday,16:00-17:30,103,DSAI_2024,Mathematics for Data Science,LECTURE,Guest Faculty
Monday,09:00-11:00,104,ECE_2021,Image Processing and Computer Vision,LECTURE,Dr. Sibasankar Padhy
Monday,10:45-12:15,104,ECE_2021,Generative AI,LECTURE,Dr. Nataraj
Monday,11:45-12:45,104,ECE_2021,Energy Efficient Neural Networks,LECTURE,Dr. Jagadish D N
Monday,09:00-11:00,104,ECE_2022,Advanced Digital Communication System,LECTURE,Dr. Chinmayananda
Monday,09:00-10:30,104,ECE_2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Monday,11:15-13:15,104,ECE_2022,Introduction to Algorithms,LECTURE,Dr. Deepak
Monday,13:30-15:00,104,ECE_2022,Digital Signal Processing,LECTURE,Dr. Somen Bhattacharjee
Monday,14:30-16:00,104,ECE_2022,Introduction to VLSI Design,LECTURE,Dr. Jagadish D N
Monday,15:00-16:30,104,ECE_2022,Happiness and Wellbeing,LECTURE,Dr. Chandrika Kamath
Monday,09:00-10:30,104,ECE_2023,Signals and Systems,LECTURE,Dr. Sibasankar Padhy
Monday,10:45-12:15,104,ECE_2023,Professional Communication,LECTURE,Dr. Chandrika Kamath
Monday,11:15-13:15,H109,ECE_2023,Linear Integrated Circuits,LAB,Dr. Prakash Pawar
Monday,09:00-10:30,104,ECE_2024,Calculus,LECTURE,Dr. Anand P B
Monday,09:00-11:00,104,ECE_2024,Physics for ECE,LECTURE,Dr. Aswath
Monday,10:45-12:15,104,ECE_2024,Basic Circuit Theory,LECTURE,Dr. Somen Bhattacharjee
Monday,11:45-12:45,104,ECE_2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Monday,16:30-17:30,104,ECE_2024,Programming and Data Structures,LECTURE,Dr. Suvadip Hazra
Tuesday,09:00-11:00,101,CSE_A_2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Tuesday,11:15-13:15,101,CSE_A_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Tuesday,11:45-12:45,101,CSE_A_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Tuesday,13:30-15:00,101,CSE_A_2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
Tuesday,09:00-11:00,101,CSE_A_2022,Graph Theory,LECTURE,Dr. Pavan
Tuesday,09:00-10:30,101,CSE_A_2022,Cryptography and Information Security,LECTURE,Dr. Rajendra Hegadi
Tuesday,10:45-12:15,101,CSE_A_2022,Computer Networks,LECTURE,Dr. C B Akki
Tuesday,14:30-16:30,101,CSE_A_2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Tuesday,09:00-11:00,101,CSE_A_2023,Design & Analysis of Algorithms,LECTURE,Dr. Vivekraj
Tuesday,12:15-13:15,101,CSE_A_2023,Industrial Social Psychology,LECTURE,Dr. Navyashree
Tuesday,16:00-17:30,101,CSE_A_2023,Object Oriented Programming,LECTURE,Dr. Pramod
Tuesday,16:30-18:00,L106,CSE_A_2023,Computer Architecture,LAB,Dr. Prabhu Prasad B M
Tuesday,15:00-16:30,101,CSE_A_2024,English Language and Communication,LECTURE,Dr. Rajesh
Tuesday,16:00-17:30,101,CSE_A_2024,Problem Solving through Programming,LECTURE,Dr. Sunil Kumar P V
Tuesday,16:30-17:30,101,CSE_A_2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Tuesday,09:00-11:00,102,CSE_B_2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
Tuesday,10:45-12:15,102,CSE_B_2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Tuesday,11:45-12:45,102,CSE_B_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Tuesday,14:30-16:00,102,CSE_B_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Tuesday,14:30-16:30,102,CSE_B_2021,Computer Graphics,LECTURE,Dr. Vivekraj
